Ticker,Date,Revenue,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,ROA,ROE,LogAssets
RVIN,2023-09-29,1337.0,-1546.0,-43.52,16456.0,25.78,-1.44,-0.002644628099173554,-1.6881303335919318,9.708445431332793
RVIN,2023-12-30,1315.0,-1376.0,-47.36,16778.0,48.47,-1.58,-0.002822744069614972,-0.9770992366412213,9.72782378340624
RVIN,2024-03-30,1204.0,-1334.0,-53.14,15734.0,54.94,-1.48,-0.0033773992627431043,-0.9672369858026939,9.663579254889187
RVIN,2024-06-29,1158.0,-1472.0,-62.5,15354.0,81.05,-1.55,-0.004070600494985021,-0.7711289327575571,9.639131305387844
RVIN,2024-09-29,874.0,-1252.0,-67.16,14262.0,92.69,-1.08,-0.0047090169681671575,-0.7245657568238213,9.565353936588249
RVIN,2024-12-30,1734.0,-609.0,-60.48,15410.0,67.68,-0.7,-0.003924724205061648,-0.8936170212765956,9.642771928314161
RVIN,2025-03-30,1240.0,-655.0,-53.82,15505.0,71.32,-0.48,-0.003471138342470171,-0.7546270330902973,9.648917831534549
RVIN,2025-06-29,1303.0,-1114.0,-54.42,15597.0,72.97,-0.97,-0.0034891325254856704,-0.7457859394271619,9.654833867051826
RVIN,2025-09-29,1558.0,-983.0,-65.28,15217.0,87.29,-0.96,-0.004289938884142735,-0.7478519876274486,9.630168502920114
RVIN,2025-12-30,1286.0,-833.0,-65.55,14864.0,96.65,-0.66,-0.004409983853606028,-0.6782203828246248,9.606697461053619
SAN,2021-12-30,3032.0,4589.0,9.65,1595835.0,80469.0,0.13,6.0469910736385654e-06,0.00011992195752401546,14.282907668188807
SAN,2022-03-30,3271.0,4536.0,10.48,1666012.0,81928.0,0.15,6.290470896968329e-06,0.00012791719558636851,14.325943304564136
SAN,2022-06-29,3435.0,4075.0,10.68,1722840.0,79113.0,0.14,6.199066657379675e-06,0.0001349967767623526,14.35948464990974
SAN,2022-09-29,3418.0,4057.0,10.87,1815792.0,80523.0,0.14,5.986368482733705e-06,0.00013499248661873005,14.412032294138527
SAN,2022-12-30,3477.0,3988.0,10.91,1734659.0,78940.0,0.13,6.289420571997148e-06,0.00013820623258170762,14.366321410259484
SAN,2023-03-30,3767.0,4778.0,10.65,1749402.0,80610.0,0.16,6.087794572088062e-06,0.00013211760327502792,14.374784573216353
SAN,2023-06-29,3669.0,4686.0,10.88,1780493.0,82516.0,0.17,6.110667101752156e-06,0.0001318532163459208,14.39240085021232
SAN,2023-09-29,3785.0,4947.0,11.26,1816844.0,83262.0,0.18,6.197560164769237e-06,0.00013523576181211116,14.412611487886213
SAN,2023-12-30,3480.0,4062.0,12.0,1797062.0,84370.0,0.18,6.67756593818132e-06,0.00014223065070522698,14.401663667118209
SAN,2024-03-30,3863.0,5250.0,12.16,1800006.0,85115.0,0.18,6.755533037112098e-06,0.00014286553486459497,14.403300556194171
SAN,2024-06-29,3240.0,4647.0,11.96,1786261.0,84289.0,0.17,6.695550090384328e-06,0.00014189277367153484,14.395635166359806
SAN,2024-09-29,3732.0,5616.0,12.83,1802259.0,85986.0,0.21,7.118843629023354e-06,0.0001492103365664178,14.40455143601216
SAN,2024-12-30,3432.0,3535.0,11.68,1837081.0,88068.0,0.13,6.35791236205698e-06,0.00013262478993505017,14.423688456856087
SAN,2025-03-30,4056.0,5719.0,12.02,1845177.0,91364.0,0.23,6.514280201845134e-06,0.00013156166542620726,14.42808576581465
SAN,2025-06-29,3359.0,4554.0,12.18,1815888.0,91736.0,0.18,6.707462134228543e-06,0.00013277230313072294,14.412085162232644
SAN,2025-09-29,3804.0,5231.0,11.34,1840668.0,92627.0,0.21,6.160806837517683e-06,0.0001224265063102551,14.42563910717909
SAN,2025-12-30,4210.0,5238.0,12.45,1867515.0,95440.0,0.22,6.666613119573337e-06,0.00013044844928751046,14.440119228085367
SHEL,2021-12-30,85279.0,13413.0,12.28,404379.0,50.81,1.48,3.0367551232878065e-05,0.24168470773469788,12.910107835996724
SHEL,2022-03-30,84204.0,13653.0,12.69,424987.0,47.93,0.93,2.9859736886069457e-05,0.26476110995201335,12.95981385920343
SHEL,2022-06-29,100059.0,17760.0,20.18,447898.0,43.1,2.4,4.505490089261394e-05,0.4682134570765661,13.012320806902993
SHEL,2022-09-29,95749.0,9617.0,24.78,437358.0,43.1,0.92,5.66583896944837e-05,0.5749419953596288,12.988507360666528
SHEL,2022-12-30,101303.0,17807.0,23.35,443024.0,43.51,1.46,5.27059482104807e-05,0.5366582394851759,13.001379223632037
SHEL,2023-03-30,86959.0,14046.0,23.77,429154.0,43.54,1.25,5.5388042520866635e-05,0.5459347726228755,12.969571107853248
SHEL,2023-06-29,74578.0,7282.0,15.22,415033.0,43.92,0.46,3.667178272571097e-05,0.3465391621129326,12.93611331412373
SHEL,2023-09-29,76351.0,10957.0,15.51,413498.0,42.58,1.05,3.750925034703916e-05,0.3642555190230155,12.932407956674815
SHEL,2023-12-30,78732.0,6633.0,10.27,406270.0,43.29,0.07,2.527875550742117e-05,0.23723723723723722,12.91477324218352
SHEL,2024-03-30,72478.0,10211.0,9.48,402039.0,42.45,1.13,2.357980195951139e-05,0.223321554770318,12.904304377820887
SHEL,2024-06-29,74464.0,9959.0,9.79,394783.0,40.32,0.55,2.4798433569834564e-05,0.24280753968253965,12.886091525837262
